EPOCHS,OPTIM,RESIDUAL,AUGMENTED,DROPOUT,BATCH_NORM,ACC_TRAIN,ACC_TEST,TEST_F1,ERROR_TRAIN,ERROR_TEST
11,"ADAM,0.0009,WD=0",False,False,False,False,64.29200172424316,60.65000295639038,0.6065,1.005847692489624,1.1091091632843018
12,"ADAM,0.0009,WD=0",False,False,False,False,65.5780017375946,60.72999835014343,0.6073,0.9680945873260498,1.1200287342071533
13,"ADAM,0.0009,WD=0",False,False,False,False,67.02200174331665,62.16999888420105,0.6217,0.9289769530296326,1.0796762704849243
14,"ADAM,0.0009,WD=0",False,False,False,False,68.6299979686737,62.0199978351593,0.6202,0.8852114677429199,1.0890544652938843
15,"ADAM,0.0009,WD=0",False,False,False,False,70.16199827194214,62.94999718666077,0.6295,0.8397079706192017,1.082617163658142
1,"ADAM,0.0008,WD=0",True,False,False,True,49.932000041007996,63.099998235702515,0.631,1.4075331687927246,1.059046983718872
2,"ADAM,0.0008,WD=0",True,False,False,True,65.83600044250488,68.18000078201294,0.6818,0.9696768522262573,0.9187464118003845
3,"ADAM,0.0008,WD=0",True,False,False,True,72.19799757003784,69.9899971485138,0.6999,0.7991701364517212,0.861488401889801
4,"ADAM,0.0008,WD=0",True,False,False,True,76.68399810791016,72.7400004863739,0.7273999999999999,0.6642544269561768,0.7861737608909607
5,"ADAM,0.0008,WD=0",True,False,False,True,80.89600205421448,75.04000067710876,0.7504,0.5454635620117188,0.7519416809082031
6,"ADAM,0.0008,WD=0",True,False,False,True,84.70199704170227,76.28999948501587,0.7629,0.4364100396633148,0.7551296949386597
7,"ADAM,0.0008,WD=0",True,False,False,True,88.46399784088135,76.27000212669373,0.7627,0.32970401644706726,0.7902886271476746
8,"ADAM,0.0008,WD=0",True,False,False,True,91.41200184822083,75.65000057220459,0.7565,0.2433183789253235,0.9785973429679871
9,"ADAM,0.0008,WD=0",True,False,False,True,94.04399991035461,75.62000155448914,0.7562,0.16858428716659546,1.0292460918426514
10,"ADAM,0.0008,WD=0",True,False,False,True,95.2180027961731,75.66999793052673,0.7567,0.13610586524009705,1.1814253330230713
11,"ADAM,0.0008,WD=0",True,False,False,True,96.2939977645874,75.6600022315979,0.7566,0.10686136037111282,1.2022813558578491
12,"ADAM,0.0008,WD=0",True,False,False,True,96.87600135803223,75.58000087738037,0.7557999999999999,0.09221810102462769,1.2607909440994263
13,"ADAM,0.0008,WD=0",True,False,False,True,97.04999923706055,76.09000205993652,0.7609,0.08267788589000702,1.2966434955596924
14,"ADAM,0.0008,WD=0",True,False,False,True,97.2819983959198,74.68000054359436,0.7468,0.07799533754587173,1.454313039779663
15,"ADAM,0.0008,WD=0",True,False,False,True,97.63799905776978,75.34000277519226,0.7534,0.06984952092170715,1.4933052062988281
1,"ADAM,0.0008,WD=0",True,False,False,False,41.18199944496155,52.20999717712402,0.5221,1.6196271181106567,1.315733790397644
2,"ADAM,0.0008,WD=0",True,False,False,False,56.25600218772888,60.15999913215637,0.6016,1.2312966585159302,1.1358150243759155
3,"ADAM,0.0008,WD=0",True,False,False,False,62.102001905441284,64.09000158309937,0.6409,1.0740090608596802,1.0224580764770508
4,"ADAM,0.0008,WD=0",True,False,False,False,66.60599708557129,66.50999784469604,0.6651,0.951371967792511,0.962813138961792
5,"ADAM,0.0008,WD=0",True,False,False,False,70.1259970664978,68.40999722480774,0.6841,0.8527011871337891,0.9126297831535339
6,"ADAM,0.0008,WD=0",True,False,False,False,73.01999926567078,68.80000233650208,0.688,0.7704082727432251,0.9043823480606079
7,"ADAM,0.0008,WD=0",True,False,False,False,75.90600252151489,70.1799988746643,0.7018,0.6906443238258362,0.8788876533508301
8,"ADAM,0.0008,WD=0",True,False,False,False,78.51799726486206,69.63000297546387,0.6963,0.6125959157943726,0.9073984026908875
9,"ADAM,0.0008,WD=0",True,False,False,False,81.08599781990051,71.3699996471405,0.7137,0.5413286089897156,0.8854501247406006
10,"ADAM,0.0008,WD=0",True,False,False,False,83.84000062942505,70.660001039505,0.7066,0.4642816483974457,0.9321043491363525
11,"ADAM,0.0008,WD=0",True,False,False,False,86.55999898910522,71.17000222206116,0.7117,0.38847577571868896,0.9839808940887451
12,"ADAM,0.0008,WD=0",True,False,False,False,88.79799842834473,70.63000202178955,0.7063,0.3217003643512726,1.069629192352295
13,"ADAM,0.0008,WD=0",True,False,False,False,91.21000170707703,71.46000266075134,0.7146,0.2598995864391327,1.1434401273727417
14,"ADAM,0.0008,WD=0",True,False,False,False,92.71799921989441,70.93999981880188,0.7094,0.21175435185432434,1.3243838548660278
15,"ADAM,0.0008,WD=0",True,False,False,False,93.99999976158142,70.59999704360962,0.706,0.1689973622560501,1.3974168300628662
